id;name;ca;mg;na;so4;cl;hco3
332;S. FRANCESCO;34.1;5.6;3.8;1.4;1.8;131.0;
333;S. GIACOMO;144.02;13.84;24.97;35.74;29.16;474.66;
334;S. GIORGIO;27.0;15.0;42.6;-1;72.5;113.4;
336;S. LUCIA;105.0;66.0;250.0;-1;70.9;1159.32;
337;S. LUCIA DI CERVAREZZA;-1;-1;-1;-1;-1;-1;
338;S. LUIGI;61.3;13.8;0.9;14.0;1.9;234.9;
339;S. MARIA DEGLI ANGELI;20.8;7.3;22.1;8.4;12.6;140.0;
340;S. PELLEGRINO;164.0;49.5;31.2;402.0;49.4;243.0;
341;S. PIETRO;191.0;55.84;88.0;45.0;28.36;1073.6;
342;S. SILVESTRO;288.0;80.2;2.4;820.5;1.4;231.8;
343;SACRAMORA;117.0;23.25;47.5;114.0;61.0;340.0;
344;SACROMONTE;-1;-1;-1;-1;-1;-1;
345;SAN BENEDETTO;48.6;29.4;5.8;4.1;2.4;301.0;
346;SANCARLO SPINONE;107.2;27.2;6.3;67.0;4.3;378.3;
347;SAN CIRO;55.25;88.86;120.0;-1;-1;744.2;
348;SAN DANIELE;59.2;7.2;7.7;29.2;4.7;211.8;
349;SAN DONATO;66.4;8.2;99.3;252.0;42.5;195.2;
350;SANFAUSTINO;422.8;16.5;20.75;96.7;18.6;1281.0;
351;SAN FELICE;58.3;9.1;8.9;17.1;9.9;194.0;
352;SAN GIACOMO DI ROBURENT;-1;-1;-1;-1;-1;-1;
353;SANGIULIANO;119.0;25.0;49.0;131.0;52.0;366.0;
354;SAN GRATO;13.8;14.9;2.8;6.8;3.6;101.0;
355;SAN LORENZO;155.9;320.2;145.8;359.0;35.4;1988.0;
356;SAN LUCA;69.76;13.88;2.87;5.7;1.8;256.2;
357;SAN MARCO;312.0;90.6;20.0;4.0;116.9;1605.0;
358;SAN MARINO;110.0;8.0;8.2;14.0;11.0;360.0;
359;SAN MARTINO;167.0;50.0;750.0;281.2;290.69;2288.0;
360;SAN MATTEO;-1;-1;-1;-1;-1;-1;
361;SAN MICHELE;5.6;0.7;2.1;4.0;0.4;-1;
362;SAN MODERANNO;55.2;30.72;37.94;63.25;10.64;317.2;
363;SAN NICODEMO;-1;-1;-1;-1;-1;-1;
364;SAN PANCRAZIO;54.4;42.3;584.0;122.0;699.0;280.6;
365;SAN PANTALEO;14.6;-1;78.0;-1;-1;115.17;
366;SAN PAOLO;298.0;76.0;248.0;312.0;51.0;1921.5;
367;SAN REMO;-1;-1;-1;-1;-1;-1;
368;SAN ROCCO;77.0;42.0;6.3;25.5;55.2;392.8;
369;SAN VITO DI CANISTRO;-1;-1;-1;-1;-1;-1;
370;SANCT ZACHARIAS;107.0;11.5;8.5;109.0;10.0;250.0;
371;SANDALIA;35.7;9.24;520.0;59.9;329.0;927.0;
372;SANGEMINI;325.1;15.23;19.6;55.2;16.3;1021.0;
373;SANTA CLARA;42.5;4.65;4.1;16.1;-1;120.0;
374;SANTA CROCE SPONGA;48.1;4.57;1.23;1.3;-1;231.8;
375;SANTA MARIA;87.3;5.1;18.0;7.0;29.1;262.0;
376;SANTA REPARATA;131.0;31.0;11.0;-1;-1;-1;
377;SANTA RITA;15.0;2.9;4.5;4.5;5.4;50.5;
378;SANTA VITTORIA;52.6;8.2;1.6;22.8;0.79;175.0;
379;SANTAFIORA;66.2;32.6;110.5;66.7;127.1;386.7;
380;SANTAGATA;280.0;20.0;49.0;5.0;20.0;1140.0;
